,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,distance_km,pickup_hour,pickup_day,pickup_month,pickup_year,pickup_dayofweek,pickup_quarter,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,is_rush_hour,is_night,hour_category,day_name,month_name,season,fare_per_km,distance_night,distance_rush,distance_weekend,hour_weekend,hour_rush,fare_per_passenger
23358938,5.5,2015-04-19 19:23:15+00:00,-74.00263977050781,40.72858428955078,-73.99115753173827,40.734962463378906,1,1.1996031747536662,19,19,4,2015,6,2,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,1,1,0,Evening,Sunday,Apr,Spring,4.584849486689133,0.0,1.1996031747536662,1.1996031747536662,19,19,5.5
20107396,10.9,2012-03-04 09:22:00+00:00,-73.95268,40.768687,-73.991088,40.750347,3,3.824075466217149,9,4,3,2012,6,1,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,1,1,0,Morning,Sunday,Mar,Spring,2.850362158459832,0.0,3.824075466217149,3.824075466217149,9,9,3.6333333333333333
26538958,11.5,2014-06-16 06:22:00+00:00,-74.00098,40.676365,-74.001497,40.71031,6,3.774763451171207,6,16,6,2014,0,2,1.0,6.123233995736766e-17,0.0,1.0,0,0,0,Morning,Monday,Jun,Summer,3.046548518538787,0.0,0.0,0.0,0,0,1.9166666666666667
5565652,6.1,2009-06-04 18:15:28+00:00,-73.974613,40.741819,-73.976899,40.751669,1,1.1120710326636976,18,4,6,2009,3,2,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,1,0,Evening,Thursday,Jun,Summer,5.4852611216649745,0.0,1.1120710326636976,0.0,0,18,6.1
20950480,5.5,2013-06-21 14:01:56+00:00,-73.980336,40.761583,-73.993886,40.768874,1,1.3998233607946462,14,21,6,2013,4,2,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,0,Afternoon,Friday,Jun,Summer,3.9290671623581006,0.0,0.0,0.0,0,0,5.5
20687515,8.0,2015-06-15 23:26:17+00:00,-73.98277282714845,40.754173278808594,-73.97601318359375,40.74477005004883,1,1.1905878648904444,23,15,6,2015,0,2,-0.25881904510252157,0.9659258262890681,0.0,1.0,0,0,1,Evening,Monday,Jun,Summer,6.719369679394594,1.1905878648904444,0.0,0.0,0,0,8.0
24430737,6.9,2011-09-14 18:56:13+00:00,-73.97144399999999,40.762797,-73.982359,40.742729,2,2.4134483015344976,18,14,9,2011,2,3,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0,1,0,Evening,Wednesday,Sep,Fall,2.8589798238532405,0.0,2.4134483015344976,0.0,0,18,3.45
14611269,5.0,2014-03-04 13:41:34+00:00,-74.010026,40.721243,-74.006342,40.725654,1,0.5804768476768928,13,4,3,2014,1,1,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,0,0,0,Afternoon,Tuesday,Mar,Spring,8.613607967329507,0.0,0.0,0.0,0,0,5.0
39911547,5.0,2009-04-01 21:38:28+00:00,-73.981206,40.737345,-73.98911,40.731283000000005,1,0.9475636768037116,21,1,4,2009,2,2,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0,0,0,Evening,Wednesday,Apr,Spring,5.276690234545318,0.0,0.0,0.0,0,0,5.0
19862601,19.0,2014-11-28 15:22:00+00:00,-73.96736700000001,40.760365,-73.991477,40.750184999999995,1,2.324973273037614,15,28,11,2014,4,4,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0,0,0,Afternoon,Friday,Nov,Fall,8.172136953289018,0.0,0.0,0.0,0,0,19.0
1372434,6.1,2011-07-05 18:59:02+00:00,-73.991528,40.750166,-74.00486,40.737469,1,1.8041008461366765,18,5,7,2011,1,3,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,1,0,Evening,Tuesday,Jul,Summer,3.381185709802539,0.0,1.8041008461366765,0.0,0,18,6.1
51839710,22.5,2009-11-12 15:08:31+00:00,-73.939954,40.841475,-73.992824,40.751809,1,10.918605360434483,15,12,11,2009,3,4,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0,0,0,Afternoon,Thursday,Nov,Fall,2.060702741536274,0.0,0.0,0.0,0,0,22.5
8577874,11.3,2009-12-22 17:40:15+00:00,-73.996184,40.738601,-73.982224,40.768477,2,3.5240318335152523,17,22,12,2009,1,4,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0,1,0,Afternoon,Tuesday,Dec,Winter,3.2065544620032993,0.0,3.5240318335152523,0.0,0,17,5.65
12716534,10.1,2009-04-15 08:25:01+00:00,-73.991001,40.749196999999995,-73.964205,40.774161,1,3.57753116870938,8,15,4,2009,2,2,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,0,1,0,Morning,Wednesday,Apr,Spring,2.823175962333725,0.0,3.57753116870938,0.0,0,8,10.1
29665799,5.5,2012-12-08 01:41:00+00:00,-73.984602,40.768308000000005,-73.978717,40.776542,5,1.0410928654529765,1,8,12,2012,5,4,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,1,0,1,Night,Saturday,Dec,Winter,5.282910086610733,1.0410928654529765,0.0,1.0410928654529765,1,0,1.1
14477632,10.1,2012-03-31 11:17:03+00:00,-73.969977,40.797358,-73.958188,40.775711,2,2.603639418241308,11,31,3,2012,5,1,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,1,0,0,Morning,Saturday,Mar,Spring,3.8791853930458204,0.0,0.0,2.603639418241308,11,0,5.05
4491279,6.1,2012-05-06 02:57:00+00:00,-74.00801,40.71476,-73.990087,40.714877,5,1.5106411527913557,2,6,5,2012,6,2,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,1,Night,Sunday,May,Spring,4.038020537656113,1.5106411527913557,0.0,1.5106411527913557,2,0,1.22
15642739,12.9,2011-09-21 22:44:00+00:00,-73.991467,40.727137,-73.98200200000001,40.769175,6,4.741926184600645,22,21,9,2011,2,3,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,0,1,Evening,Wednesday,Sep,Fall,2.7204134981882704,4.741926184600645,0.0,0.0,0,0,2.15
33882768,13.5,2013-07-27 15:37:33+00:00,-73.967873,40.755835,-73.978961,40.740679,1,1.9268063606079415,15,27,7,2013,5,3,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,1,0,0,Afternoon,Saturday,Jul,Summer,7.006412411748792,0.0,0.0,1.9268063606079415,15,0,13.5
41351566,6.0,2015-04-12 10:18:30+00:00,-73.98597717285155,40.7591209411621,-73.99185180664062,40.749759674072266,1,1.1525550538297644,10,12,4,2015,6,2,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,0,Morning,Sunday,Apr,Spring,5.205825075394808,0.0,0.0,1.1525550538297644,10,0,6.0
13578048,14.5,2010-02-19 22:22:00+00:00,-73.98862,40.721583,-73.976913,40.672513,1,5.544877465812706,22,19,2,2010,4,1,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0,0,1,Evening,Friday,Feb,Winter,2.6150262272522107,5.544877465812706,0.0,0.0,0,0,14.5
23272009,12.5,2013-12-13 14:03:00+00:00,-73.970417,40.752334999999995,-73.98991,40.757622,5,1.7439899980156743,14,13,12,2013,4,4,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,0,Afternoon,Friday,Dec,Winter,7.167472298707332,0.0,0.0,0.0,0,0,2.5
7145520,11.5,2015-03-22 19:59:43+00:00,-73.99278259277344,40.69350814819336,-73.98281860351562,40.67784118652344,1,1.93409434732696,19,22,3,2015,6,1,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,1,1,0,Evening,Sunday,Mar,Spring,5.9459353758485065,0.0,1.93409434732696,1.93409434732696,19,19,11.5
33881915,5.0,2013-11-20 08:06:00+00:00,-73.982122,40.777112,-73.9736,40.789452,1,1.5484204206139718,8,20,11,2013,2,4,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,0,1,0,Morning,Wednesday,Nov,Fall,3.2290971711787586,0.0,1.5484204206139718,0.0,0,8,5.0
