,distance_km,pickup_hour,fare_per_km,is_weekend,is_rush_hour,passenger_count,fare_amount,pickup_latitude,pickup_longitude
23358938,1.1996031747536662,19,4.584849486689133,1,1,1,5.5,40.72858428955078,-74.00263977050781
20107396,3.824075466217149,9,2.850362158459832,1,1,3,10.9,40.768687,-73.95268
26538958,3.774763451171207,6,3.046548518538787,0,0,6,11.5,40.676365,-74.00098
5565652,1.1120710326636976,18,5.4852611216649745,0,1,1,6.1,40.741819,-73.974613
20950480,1.3998233607946462,14,3.9290671623581006,0,0,1,5.5,40.761583,-73.980336
20687515,1.1905878648904444,23,6.719369679394594,0,0,1,8.0,40.754173278808594,-73.98277282714845
24430737,2.4134483015344976,18,2.8589798238532405,0,1,2,6.9,40.762797,-73.97144399999999
14611269,0.5804768476768928,13,8.613607967329507,0,0,1,5.0,40.721243,-74.010026
39911547,0.9475636768037116,21,5.276690234545318,0,0,1,5.0,40.737345,-73.981206
19862601,2.324973273037269,15,8.172136953290229,0,0,1,19.0,40.760365,-73.96736700000001
1372434,1.8041008461366765,18,3.381185709802539,0,1,1,6.1,40.750166,-73.991528
51839710,10.918605360434483,15,2.060702741536274,0,0,1,22.5,40.841475,-73.939954
8577874,3.5240318335152523,17,3.2065544620032993,0,1,2,11.3,40.738601,-73.996184
12716534,3.5775311687088314,8,2.823175962334158,0,1,1,10.1,40.749197,-73.991001
29665799,1.0410928654529765,1,5.282910086610733,1,0,5,5.5,40.768308000000005,-73.984602
14477632,2.603639418241308,11,3.8791853930458204,1,0,2,10.1,40.797358,-73.969977
4491279,1.5106411527913557,2,4.038020537656113,1,0,5,6.1,40.71476,-74.00801
15642739,4.741926184600645,22,2.7204134981882704,0,0,6,12.9,40.727137,-73.991467
33882768,1.9268063606079415,15,7.006412411748792,1,0,1,13.5,40.755835,-73.967873
41351566,1.1525550538297644,10,5.205825075394808,1,0,1,6.0,40.7591209411621,-73.98597717285155
13578048,5.544877465812706,22,2.6150262272522107,0,0,1,14.5,40.721583,-73.98862
23272009,1.7439899980151974,14,7.167472298709292,0,0,5,12.5,40.752335,-73.970417
7145520,1.93409434732696,19,5.9459353758485065,1,1,1,11.5,40.69350814819336,-73.99278259277344
33881915,1.5484204206139718,8,3.2290971711787586,0,1,1,5.0,40.777112,-73.982122
25479420,1.517126621207138,18,6.920978020704314,0,1,1,10.5,40.727397,-73.999495
35398273,0.28299234389068006,2,22.96881926427999,0,0,1,6.5,40.699787,-73.986722
33169378,0.49718237956165134,14,8.045337414263681,0,0,1,4.0,40.777094,-73.977802
